"Time Created","Screen Name","Follower Count","Full Text","Location","Hashtags","Mentions","Platform"
"Mon Apr 03 05:14:43 +0000 2017","guatrone7","2061","RT @avanconia: @realDonaldTrump I think the leaker that led to DNC inventing Guccifer_2 is dead:: https://t.co/nja2SKCop2","","[]","[u""MAGA.Wreck'nBall1861"", u'Donald J. Trump']","iPhone"
"Mon Apr 03 05:14:50 +0000 2017","Primusfan87","645","RT @ItIzBiz: #TrumpRussia #russiagate #russianhacking #MAGA #TRUMP @jasoninthehouse 
Wake the F up! https://t.co/a4zqcLRhYi","Santa Rosa, California","['TrumpRussia', 'russiagate', 'russianhacking', 'MAGA', 'TRUMP']","[u'Resist\U0001f1fa\U0001f1f8Now \u262e', u'Jason Chaffetz']","iPhone"
"Mon Apr 03 05:15:34 +0000 2017","amicah1","2914","RT @avanconia: ⚡️UPDATED⚡️
🔥VINDICATION🔥
🚨💥#RussianHacking A LIE! PROOF IS HERE💥🚨
SHARE NOW - RETWEET ALL - BREAK THE COVER UP
🔥👉🔗…","","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","Twitter Web Client"
"Mon Apr 03 05:16:24 +0000 2017","la700","10170","RT @avanconia: ⚡️UPDATED⚡️
🔥VINDICATION🔥
🚨💥#RussianHacking A LIE! PROOF IS HERE💥🚨
SHARE NOW - RETWEET ALL - BREAK THE COVER UP
🔥👉🔗…","Texas, USA","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","iPhone"
"Mon Apr 03 05:18:34 +0000 2017","klcecotti","1844","RT @avanconia: ⚡️UPDATED⚡️
🔥VINDICATION🔥
🚨💥#RussianHacking A LIE! PROOF IS HERE💥🚨
SHARE NOW - RETWEET ALL - BREAK THE COVER UP
🔥👉🔗…","","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","Android"
"Mon Apr 03 05:19:26 +0000 2017","NiceCLady1","53","@advisingtrump2 @NolteNC #ObamaGate is our wrong. #RussianHacking is Russia’s wrong. See the difference?","Pacific NW","['ObamaGate', 'RussianHacking']","[u'Logical Fallacies', u'CNN Lies & Is Hitler']","Twitter Web Client"
"Mon Apr 03 05:20:41 +0000 2017","avanconia","15736","@ncwolf1313 @worst_potus_evr https://t.co/nja2SKCop2 You are so dumb. All the Russian shit is just made up.  Get pa… https://t.co/eowR799yQK","behind liberal enemy lines","[]","[u'Trump is deranged', u'dont screw with me']","Twitter Web Client"
"Mon Apr 03 05:21:09 +0000 2017","NiceCLady1","53","@advisingtrump2 @NolteNC None of it is Trump’s wrong. Neither #ObamaGate nor #RussianHacking","Pacific NW","['ObamaGate', 'RussianHacking']","[u'Logical Fallacies', u'CNN Lies & Is Hitler']","Twitter Web Client"
"Mon Apr 03 05:21:11 +0000 2017","mmcville","139","@Schwartzesque Facebook is tool in #russianhacking and Trump campaign was complicit. Mark Zuckerberg has awesome re… https://t.co/hDDqBF8uIh","Charlottesville, Virginia","['russianhacking']","[u'Mattathias Schwartz']","Mobile Web"
"Mon Apr 03 05:21:31 +0000 2017","Polulis","1732","⚡️ “#RussianHacking my butt! PROOF HERE.” by @avanconia

https://t.co/x0g9PRgt9F","Sunset, SC","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","Twitter Web Client"
